,F,M,mean,region_name
61,,470694.4,28143,Республика Марий Эл
24,1789575.7031250002,795760.1069444444,25519,Алтайский край
102,,,,Ненецкий автономный округ
18,,51928185.90333333,35172,Республика Татарстан
82,,1761957.8699999999,26660,Тамбовская область
53,,994980.24,27724,Костромская область
92,,39472231.97,68871,Республика Саха (Якутия)
58,,,85631,Магаданская область
33,,4300000.0,42315,Амурская область
9,,174948.56,25776,Кабардино-Балкарская Республика
11,,479402.5466666667,25430,Карачаево-Черкесская республика
41,,1160857.3,30894,Волгоградская область
48,,193433.82,73896,Камчатский край
79,,192218.65,26823,Саратовская область
69,977866.8019999999,955018.4376388886,32613,Омская область
1,1420071.8601908402,1241086.7113421047,60421,Санкт-Петербург
77,,1302635.62,33754,Самарская область
88,,943642.9633333333,28353,Ульяновская область
32,613565.505,2359571.161904762,47153,Хабаровский край
96,,221925.142,31852,Белгородская область
21,865860.2966666667,821508.4420000002,37874,Республика Хакасия
38,,170400.165,33630,Астраханская область
64,3236649.8866666667,5376050.070909089,51938,Московская область
90,,632874.6266666666,26177,Чеченская республика
57,,17126107.73,31622,Липецкая область
51,,1389355.71,27932,Кировская область
106,826869.2166666667,1178335.2968292686,41901,Томская область
35,,614337037.03,27251,Брянская область
3,,473221.58,27469,Республика Адыгея
81,,963921.26,29065,Ставропольский край
45,,1727706.14,42647,Иркутская область
13,,703162.11,50413,Республика Коми
6,876696.1950000001,818616.9118421052,30953,Республика Алтай
110,,799122.81,31814,Севастополь*
70,105900.0,0.18,27476,Орловская область
97,,1662500.755,38197,Калужская область
108,,2700443.9400000004,,Ханты-Мансийский автономный округ — Югра
105,,,30371,Оренбургская область
104,,3858249.9888888886,,Ямало-Ненецкий автономный округ
62,,533043.5349999999,26712,Республика Мордовия
56,,14644990.7,43631,Ленинградская область
17,,,26958,Республика Северная Осетия — Алания
89,37315761.94,4886582.487999999,35219,Челябинская область
28,,18934536.07,45635,Красноярский край
72,,199945.42,28968,Пензенская область
74,,1264074.38,42199,Приморский край
93,,3749041.73,39242,Еврейская автономная область
75,,317038.055,26871,Псковская область
101,,2482759.0,31049,Тверская область
43,,1509306.255,31207,Воронежская область
80,2154394.255,3674507.6411111113,38052,Свердловская область
37,,214230.245,48307,Архангельская область
29,,5347524.0,35802,Пермский край
94,,2513637.56,77499,Сахалинская область
99,,1813492.905,25729,Ивановская область
8,,168692.51,25367,Республика Ингушетия
46,1533529.9692857142,2160227.7822580645,33385,Калининградская область
5,,,36047,Республика Бурятия
103,,8840007.49,31916,Рязанская область
55,,2956737.35,29937,Курская область
47,,,26049,Республика Калмыкия
86,13400219.42,2917720.2295652176,68664,Тюменская область
20,,3950252.0,31808,Удмуртская республика
59,,389710.43,25155,Республика Дагестан
109,,12988228.62,29640,Республика Крым*
50,987706.0899999999,1752758.6964864861,38023,Кемеровская область
85,,3110191.0,35779,Республика Тува (Тыва)
42,,234674.76,35497,Вологодская область
67,,6001132.26,31462,Новгородская область
27,,625644.0,33846,Краснодарский край
36,,,30460,Владимирская область
76,,24644197.85,31448,Ростовская область
107,,,33474,Ярославская область
63,1748010.1860000002,3125817.938571428,83801,Москва
98,6649418.0,579326.8342857143,28159,Курганская область
4,,237792.615,33753,Республика Башкортостан
91,,632174.0,27036,Чувашская республика - Чувашия
100,,,29397,Смоленская область
95,,77926.01,98864,Чукотский автономный округ
12,,1573226.72,39402,Республика Карелия
44,,1254549.965,40740,Забайкальский край
66,,5885506.76,32949,Нижегородская область
84,,7243780.82,34662,Тульская область
68,7757656.63,3056368.0623333333,35686,Новосибирская область
65,,1107920.425,58045,Мурманская область
