	id	name	value
0	27	Краснодарский край	10,7
1	33	Амурская область	8,9
2	92	Республика Саха (Якутия)	8,3
3	32	Хабаровский край	8,0
4	74	Приморский край	7,4
5	100	Смоленская область	7,3
6	56	Ленинградская область	7,1
7	77	Самарская область	6,4
8	57	Липецкая область	5,7
9	64	Московская область	5,7
10	97	Калужская область	5,6
11	67	Новгородская область	5,3
12	36	Владимирская область	5,2
13	28	Красноярский край	4,6
14	84	Тульская область	4,5
15	44	Забайкальский край	4,5
16	101	Тверская область	4,5
17	103	Рязанская область	4,5
18	105	Оренбургская область	4,5
19	21	Республика Хакасия	4,4
20	50	Кемеровская область	4,4
21	45	Иркутская область	4,1
22	96	Белгородская область	4,0
23	5	Республика Бурятия	4,0
24	35	Брянская область	3,9
25	55	Курская область	3,8
26	4	Республика Башкортостан	3,8
27	80	Свердловская область	3,7
28	63	Москва	3,7
29	88	Ульяновская область	3,7
30	68	Новосибирская область	3,6
31	107	Ярославская область	3,5
32	69	Омская область	3,5
33	20	Удмуртская Республика	3,4
34	46	Калининградская область	3,4
35	81	Ставропольский край	3,3
36	24	Алтайский край	3,3
37	51	Кировская область	3,3
38	79	Саратовская область	3,3
39	66	Нижегородская область	3,2
40	70	Орловская область	3,2
41	99	Ивановская область	3,2
42	42	Вологодская область	3,2
43	59	Республика Дагестан	3,1
44	18	Республика Татарстан	3,0
45	82	Тамбовская область	2,9
46	29	Пермский край	2,8
47	41	Волгоградская область	2,7
48	98	Курганская область	2,6
49	62	Республика Мордовия	2,6
50	61	Республика Марий Эл	2,6
51	72	Пензенская область	2,4
52	9	Кабардино-Балкарская Респ.	2,3
53	91	Чувашская Республика	2,3
54	75	Псковская область	2,3
55	106	Томская область	2,3
56	89	Челябинская область	2,2
57	1	Санкт-Петербург	2,1
58	86	Тюменская область	2,0
59	12	Республика Карелия	1,9
60	90	Чеченская Республика	1,9
61	104	Ямало-Ненецкий АО	1,7
62	109	Республика Крым	1,6
63	17	Респ. Северная Осетия-Алания	1,5
64	37	Архангельская область	1,4
65	108	Ханты-Мансийский АО	1,1
66	53	Костромская область	1,0
67	43	Воронежская область	0,8
68	38	Астраханская область	0,0
69	76	Ростовская область	-0,2
70	13	Республика Коми	-0,6
71	65	Мурманская область	-1,0
