,fem_mean,man_mean,mean,region_name,salary_mean,satisfying_index,savings_mean,siblings_mean_income
43,878433.8131506853,2532386.1392048206,31207,Воронежская область,31207,0.8,,2121368.7083918676
101,722144.2678378376,505498.85988262895,31049,Тверская область,31049,4.5,,886915.0074319732
80,1113433.1748704666,1340613.0604992318,38052,Свердловская область,38052,3.7,,1162254.1584916462
37,1039881.1486086956,1173597.9525990502,48307,Архангельская область,48307,1.4,,1065313.6749280582
75,919734.2317460316,1444850.4108243727,26871,Псковская область,26871,2.3,,1444589.1085752682
72,571298.4932432432,1587285.6455393585,28968,Пензенская область,28968,2.4,,1317424.171696428
28,995446.2108108106,971625.6787283961,45635,Красноярский край,45635,4.6,,963710.2538909429
74,943135.5814935066,1323291.0092792793,42199,Приморский край,42199,7.4,,2567325.4254106916
93,890791.2498113208,2405163.099871795,39242,Еврейская автономная область,39242,,14724978.0,1881997.0262389376
103,662822.7484507042,918045.3687087094,31916,Рязанская область,31916,4.5,,791666.1757362643
46,764181.4235076268,767366.4394647641,33385,Калининградская область,33385,3.4,,658633.3174365113
5,655567.0902941176,1246837.2152663944,36047,Республика Бурятия,36047,4.0,3307389.2352941176,1055549.9677583477
8,660415.2987878788,282252.5019815669,25367,Республика Ингушетия,25367,,36478.0,201710.77560679603
47,587641.3377419355,531289.849617225,26049,Республика Калмыкия,26049,,,495004.95520599256
55,754350.9600000002,1023127.6091277266,29937,Курская область,29937,3.8,,947912.7149608358
29,856683.1819072163,1262882.8930272954,35802,Пермский край,35802,2.8,,1096969.3593829405
99,944140.1568539327,625046.2346078436,25729,Ивановская область,25729,3.2,,705542.1215690868
94,1295935.4082894737,1108453.521617021,77499,Сахалинская область,77499,,1790589.0,1113815.3670422544
67,694917.3439495802,830771.4876288656,31462,Новгородская область,31462,5.3,,684688.9911007462
85,1032938.6062121213,859807.9093385214,35779,Республика Тува (Тыва),35779,,,847964.0196675896
107,461541.32207792206,965707.6578436653,33474,Ярославская область,33474,3.5,,834435.6845979381
50,710195.0354060914,635391.7285306113,38023,Кемеровская область,38023,4.4,,608834.2250241796
76,876117.5714000002,1890329.2825158252,31448,Ростовская область,31448,-0.2,,1651767.8508750016
36,888272.1469911505,1164225.653029089,30460,Владимирская область,30460,5.2,1997065.3333333333,1054991.9063933725
27,1020307.0045033111,1245080.933366763,33846,Краснодарский край,33846,10.7,,1144179.889473685
42,659195.8105714286,621752.6222477875,35497,Вологодская область,35497,3.2,,587047.2051522841
20,762350.0591509432,1144542.062331378,31808,Удмуртская республика,31808,3.4,,1003717.9622260274
86,1338049.7825210087,1481560.572632979,68664,Тюменская область,68664,2.0,,1354305.0424593135
109,563553.0470000001,1159445.9929213482,29640,Республика Крым*,29640,1.6,,968526.4901612905
59,403201.73071428575,555485.7078640778,25155,Республика Дагестан,25155,3.1,,447441.66135766444
